Z,A,E (keV),ΔE (keV),Sigma,ΔSigma (b),Intensity (%),T1/2 (s)
13,27,6315.908,0.197,0.00499545399214797,0.000199592453838182,2.14622992911182,
13,27,7693.114,0.262,0.00808464861452191,0.000311191984769502,3.47346104080091,
13,27,7723.782,0.255,0.066749534464339,0.00133787933794308,28.6780438468308,
14,30,752.163,0.038,0.00316034021173236,0.000100490360987812,2.67825441672234,
14,28,1273.383,0.029,0.0289162625043621,0.000559121633928874,24.5053072070865,
14,28,1446.269,0.087,0.00121194324720187,0.0000939292100274139,1.02707054847616,
14,29,1712.196,0.057,0.0061225209313376,0.000222514471888001,5.18857706045559,
14,28,2092.914,0.032,0.0330302407213916,0.000622011612803619,27.9917294249082,
14,29,2235.262,0.059,0.00250645002216326,0.000119140583666012,2.12411018827395,
14,28,2425.809,0.047,0.00482000535095219,0.000153919522861418,4.08475029741711,
14,30,2780.523,0.071,0.00242587948041307,0.000126960420084422,2.05583006814667,
14,30,3054.35,0.083,0.00249805869977846,0.000140392371361406,2.11699889811734,
14,29,3101.111,0.084,0.00148938565212836,0.0000780071958005173,1.26219123061726,
14,28,3538.976,0.05,0.118,0.00204284696802737,100,
14,28,3660.729,0.062,0.00705145884477612,0.000208960508512129,5.97581258031875,
14,29,3864.807,0.099,0.00197500728086725,0.000122665531534472,1.67373498378581,
14,28,3954.336,0.082,0.00450727499979125,0.000194363382866123,3.81972457609428,
14,28,4933.826,0.074,0.112414783039986,0.00225841167868508,95.2667652881234,
14,28,5106.596,0.103,0.00649794940097391,0.000282228732459612,5.50673678048636,
14,29,5270.365,0.274,0.00179950456892629,0.000170136209209372,1.52500387197143,
14,29,5868.672,0.142,0.0025184812869436,0.000152472383884021,2.13430617537594,
14,28,6379.747,0.107,0.0210214961772022,0.000592105476438471,17.8148272688154,
14,29,6742.942,0.224,0.00205129817571791,0.000176113555037152,1.73838828450671,
14,28,7199.016,0.127,0.0127321911206258,0.000392144980400273,10.7899924751066,
14,28,8471.977,0.174,0.0038904002541018,0.000183692655568841,3.29694936788288,
15,31,77.992,0.023,0.0589329401632385,0.00280378529469498,74.3806915144327,
15,31,512.65,0.018,0.0792315034497941,0.00397977226551308,100,
15,31,636.57,0.017,0.031,0.00143536584021533,39.1258510191511,
15,31,1071.154,0.02,0.024825139735215,0.00115609104123383,31.3324102841816,
15,31,1149.255,0.028,0.00379339495683856,0.000191976751267481,4.78773567542144,
15,31,1322.639,0.025,0.00526226769845254,0.000251827262929219,6.64163554814662,
15,31,1676.813,0.031,0.00402346724014198,0.000199017600334916,5.07811547800742,
15,31,1941.006,0.037,0.00410680737777607,0.0002047180720421,5.18330108474894,
15,31,2114.318,0.035,0.0113881206280111,0.000537145622016968,14.3732229380544,
15,31,2151.415,0.037,0.00987539647845729,0.000475759355992261,12.4639771410055,
15,31,2156.736,0.036,0.0126766747816261,0.000603838212952585,15.9995383523914,
15,31,2585.823,0.046,0.00879983378961405,0.000421757009301005,11.1064834143784,
15,31,2885.891,0.054,0.00641581088592915,0.00031143275631041,8.09755035128747,
15,31,3057.938,0.058,0.0108580318567797,0.000521022338203229,13.7041850577277,
15,31,3273.874,0.066,0.00837015825718978,0.000412259527276216,10.564179515404,
15,31,3522.49,0.068,0.0224441510984368,0.00106258174563933,28.3273068428631,
15,31,3899.648,0.076,0.0300838880989653,0.00142073999467565,37.9696039947396,
15,31,4199.703,0.085,0.00566162339594335,0.000281958858088628,7.14567204891032,
15,31,4364.24,0.089,0.00743548029052014,0.000367972874945947,9.38449980976534,
15,31,4660.969,0.096,0.00567486046997282,0.000299869165827224,7.16237888072989,
15,31,4671.207,0.091,0.019912914883882,0.000962534833929454,25.1325722936711,
15,31,5265.461,0.112,0.00598175682720354,0.000319723081800331,7.54972020819212,
15,31,5705.406,0.125,0.00446919262336199,0.000246025535871856,5.64067628250162,
15,31,6785.301,0.141,0.0276087842703272,0.00136145941744775,34.8457154897002,
15,31,7422.076,0.175,0.00861549309830187,0.0004517262712646,10.8738225619575,
16,32,841.013,0.014,0.348,0.00581578832882345,100,
16,32,1472.329,0.025,0.00869916590531505,0.000186135386936082,2.49976031761927,
16,34,1572.271,0.034,0.00406970524367513,0.000124193604898822,1.16945552979171,
16,32,1697.187,0.026,0.0125377036382382,0.000250375697994232,3.60278840179258,
16,32,1964.868,0.088,0.00658423650912251,0.000230728712747401,1.89202198538003,
16,32,2216.655,0.041,0.0120410462769831,0.000232965286310402,3.46007076924801,
16,34,2347.633,0.115,0.0059970102520115,0.000294719849448112,1.72327880804928,
16,32,2379.495,0.035,0.208461468845941,0.0031711094322239,59.9027209327416,
16,32,2490.04,0.041,0.012547785222754,0.000260877116143985,3.60568540883736,
16,32,2753.087,0.046,0.0277173326506733,0.000472609753010808,7.96475076168774,
16,32,2867.444,0.069,0.0042166686317327,0.000155905435666828,1.21168638842894,
16,32,2930.593,0.049,0.0832325465565508,0.00131030679294358,23.9173984357905,
16,32,3220.364,0.057,0.124430400864062,0.00197537847698432,35.7558623172593,
16,32,3369.479,0.062,0.0272442571372274,0.000502030970735368,7.82880952219179,
16,32,3397.154,0.069,0.00544582247477253,0.000148946125490808,1.56489151573923,
16,32,3723.339,0.071,0.0132773595855212,0.000291333799026695,3.81533321423023,
16,32,4430.279,0.086,0.0263105454557298,0.000606127845700755,7.56050156773846,
16,34,4637.486,0.098,0.0073418246048401,0.000216762303175899,2.10971971403451,
16,32,4869.191,0.091,0.0651910935889619,0.00125926045521972,18.7330728703914,
16,32,5046.691,0.1,0.0164318921695075,0.000433860594632695,4.72180809468606,
16,32,5420.241,0.1,0.309307924638563,0.00705348583998963,88.881587539817,
16,32,5583.174,0.112,0.00855566339601371,0.000255551441752352,2.45852396437176,
16,32,5887.633,0.139,0.00376336874779821,0.000176861565940078,1.08142780109144,
16,32,7799.444,0.18,0.0144676477637057,0.000466938854855989,4.15737004704186,
16,32,8640.34,0.326,0.0103484000772643,0.000841141862117244,2.97367818312193,
17,35,517.077,0.008,7.42794182399673,0.0667608393510973,83.2405402811438,
17,35,786.182,0.15,3.61047468235558,1.72951951299004,40.4604492538904,
17,35,788.37,0.212,4.9039760125407,2.31481749305082,54.955951794196,
17,35,1131.18,0.015,0.633777604329674,0.00950831343680268,7.10236986941085,
17,35,1162.561,0.045,0.705167965129038,0.0263686105237665,7.90239931829624,
17,35,1164.831,0.012,8.92346661723838,0.0657422693422422,100,
17,35,1327.365,0.019,0.404379298300898,0.00684047593204526,4.53163905515953,
17,35,1601.055,0.014,1.23278313999813,0.0152180685921141,13.8150697803547,
17,35,1951.15,0.015,6.491,0.053886243787511,72.7407887363042,
17,35,1959.359,0.016,4.18463407372737,0.0378835273950035,46.8947131560226,
17,35,2676.109,0.029,0.524183174348271,0.0104697355196717,5.87421006692234,
17,35,2863.765,0.033,1.83163746575866,0.0248457416790867,20.5260751715068,
17,35,3061.759,0.033,1.10596759595651,0.0191115558296378,12.393923162328,
17,35,4944.349,0.064,0.381497561772938,0.00908290487160569,4.27521699959027,
17,35,4979.75,0.054,1.25576818641975,0.0242415048766216,14.0726495686536,
17,35,5517.131,0.078,0.577840680122151,0.0165863409238141,6.47551792266334,
17,35,5715.156,0.07,1.86498816384666,0.0351187939151219,20.8998166726356,
17,35,5902.748,0.105,0.417363666454002,0.0160065087665225,4.67714717111999,
17,35,6110.711,0.072,7.36905547596593,0.105562926835286,82.5806358902085,
17,35,6619.576,0.081,2.74667887739292,0.0440369546343214,30.7804017789104,
17,35,6627.865,0.084,1.56415646204169,0.0300538331948428,17.5285741420273,
17,35,6977.745,0.099,0.794324314393529,0.0209423811638412,8.90152166714056,
17,35,7413.924,0.099,3.56750245185957,0.0643019379039411,39.9788849433006,
17,35,7790.277,0.106,2.88888527832586,0.0599253411121397,32.3740246054724,
17,35,8578.583,0.153,0.927721977887478,0.0256641750176514,10.3964301955845,
19,39,646.271,0.025,0.0450547896897308,0.0008341083002266,4.98945622256155,
19,39,770.325,0.023,0.903,0.011810923301234,100,
19,39,1158.88,0.024,0.159736030032026,0.00251675744284565,17.6894828385411,
19,39,1247.205,0.026,0.0784250707522881,0.00134182136476544,8.68494692716368,
19,39,1303.421,0.028,0.0549734442742024,0.00115054949024037,6.08786758296815,
19,39,1613.762,0.03,0.11940244989366,0.00196720826111598,13.2228626681794,
19,39,1618.976,0.029,0.129715534540128,0.00205287837158396,14.3649539911548,
19,39,2007.713,0.04,0.0513338610422881,0.00116290341615006,5.6848129614937,
19,39,2017.493,0.04,0.0539515158162739,0.00117737982379831,5.97469721110453,
19,39,2039.945,0.043,0.0519222225520531,0.00126476496030927,5.74996927486745,
19,39,2047.331,0.043,0.0536882559064668,0.00126183458266367,5.94554328975269,
19,39,2073.674,0.039,0.137175117917744,0.00236214920000301,15.1910429587757,
19,39,2290.637,0.046,0.0582412221489091,0.00132143914883526,6.44974774628008,
19,39,2545.922,0.056,0.0536372583300821,0.00121925810167034,5.93989571761707,
19,39,3055.301,0.065,0.0463987997973238,0.00121925575027631,5.13829455119864,
19,39,3545.638,0.086,0.0746398581399193,0.00178175891760139,8.26576502103204,
19,39,4135.577,0.085,0.0563279760142199,0.00165061583617289,6.23787109792026,
19,39,4360.224,0.092,0.0775532911617539,0.00207669619690795,8.58840433684982,
19,39,4991.574,0.116,0.0431883649438777,0.00135677174992149,4.78276466709609,
19,39,5379.965,0.118,0.146487299208001,0.00411006040967046,16.2222922710964,
19,39,5509.241,0.128,0.0598409804089208,0.00189022497670842,6.62690812944859,
19,39,5695.453,0.128,0.113752317052478,0.00310741048032753,12.597155819765,
19,39,5729.191,0.141,0.043688322998095,0.001821777249313,4.83813100754097,
19,39,5751.759,0.129,0.10846529504098,0.00305679851737727,12.0116605803964,
19,39,6998.777,0.175,0.0447392138246748,0.00200205360101359,4.95450872919986,
20,44,174.005,0.09,0.0168342492402604,0.000432079740914308,4.78245717052854,
20,44,510.84,0.077,0.0113316161103208,0.000346702999587243,3.21920912225024,
20,40,519.563,0.075,0.0503005367122598,0.00132668535619189,14.2899252023465,
20,40,727.161,0.067,0.0116730502685481,0.000356191590712154,3.31620746265571,
20,43,1156.873,0.057,0.00876081312159076,0.000346050030307626,2.48886736408828,
20,43,1274.428,0.06,0.00550008530567836,0.000286262508099511,1.56252423456772,
20,40,1389.813,0.045,0.0105917012974434,0.000365291117841042,3.00900605041006,
20,40,1670.806,0.064,0.00690206075138409,0.000340355020977161,1.96081271346139,
20,44,1725.679,0.068,0.00895846446457623,0.000417402430811502,2.54501831380006,
20,40,1942.677,0.027,0.352,0.007416081199921,100,
20,40,2001.314,0.029,0.0659096056876382,0.00154874941420838,18.7243197976245,
20,40,2009.839,0.031,0.0409325778673611,0.00103000713282854,11.628573257773,
20,40,2290.415,0.055,0.0077740743383105,0.000355470977999611,2.20854384611094,
20,40,2660.322,0.075,0.00739550060094038,0.000399136574513805,2.10099448890352,
20,40,2810.165,0.057,0.0167063999643983,0.000538602931141398,4.74613635352225,
20,40,3584.835,0.102,0.0100468451572684,0.000461238547799314,2.85421737422398,
20,40,3609.84,0.087,0.0283853758233198,0.000877708635543882,8.06402722253404,
20,40,3759.424,0.105,0.011735289324752,0.000539213733496785,3.33388901271363,
20,40,4418.497,0.12,0.0708433311715387,0.0018343378914375,20.1259463555508,
20,40,4749.208,0.153,0.0134672952486899,0.000658291679922126,3.82593615019599,
20,40,4962.68,0.182,0.00669349919062385,0.000407549090082722,1.90156227006359,
20,44,5514.431,0.196,0.0101933399992727,0.000844871585815998,2.89583522706611,
20,40,5692.413,0.217,0.00669150535791418,0.000465008214469781,1.90099584031653,
20,40,5899.987,0.198,0.0258097939153037,0.00119891666961641,7.33232781684765,
20,40,6419.694,0.213,0.176127688315805,0.00459612235174103,50.0362750897172,
21,45,52.049,0.021,0.868544402846126,0.0328420872613089,12.1751882293151,
21,45,142.627,0.016,4.88479702965896,0.073326011531689,68.474706765952,
21,45,147.114,0.016,6.08,0.0878190716119572,85.2289695168879,
21,45,216.475,0.017,2.49216652641096,0.0355210098804418,34.9349975181724,
21,45,227.86,0.016,7.13372464135597,0.109356050859282,100,
21,45,228.806,0.016,3.31386937368287,0.052811410981119,46.4535644461457,
21,45,295.343,0.019,3.9656786438052,0.110356973884621,55.5905763563563,
21,45,486.054,0.021,0.593456411873664,0.0141764853477424,8.31902605874707,
21,45,539.466,0.025,0.737928887598817,0.0188957666966737,10.34423004388,
21,45,554.555,0.023,1.8160607973379,0.0416534073461165,25.4573997265012,
21,45,584.804,0.027,1.77084533260955,0.0303658784629337,24.8235728408063,
21,45,627.477,0.022,2.2287347515655,0.0490849811120582,31.2422312832903,
21,45,721.784,0.027,0.486771318678234,0.0151143894634357,6.8235226778491,
21,45,773.834,0.022,0.572312169879328,0.0130893363844774,8.02262771065612,
21,45,807.742,0.031,0.52334700504781,0.0133649403168797,7.33623781907473,
21,45,1335.041,0.034,0.639972254362269,0.0223091478561446,8.97108153925919,
21,45,1693.352,0.045,0.464584667283967,0.0188645259617644,6.51251191545374,
21,45,4974.545,0.1,0.49758299822967,0.0243181780957334,6.97507996517077,
21,45,6170.24,0.161,0.474527471790509,0.053573591463662,6.65188937963145,
21,45,6317.638,0.249,0.58269598733746,0.040489673301634,8.16818726026271,
21,45,6349.395,0.29,0.53328845395338,0.038625322882188,7.47559628054291,
21,45,6839.731,0.114,0.954132314353987,0.0406223792533532,13.3749529498608,
21,45,8132.372,0.18,0.481183689759304,0.0294058509963662,6.74519572804595,
21,45,8175.069,0.102,1.79854651151883,0.0611527235178678,25.2118858231815,
21,45,8532.071,0.124,0.894806863425721,0.0396381397311026,12.5433333694758,
22,48,137.354,0.031,0.0541671553966699,0.000879794790388722,1.04569798063069,
22,48,341.689,0.029,1.84269740257968,0.0207642899119809,35.5733089301096,
22,47,983.502,0.03,0.114299021319535,0.00171119456374658,2.20654481311844,
22,49,1121.091,0.048,0.0643018794539918,0.00144359782666399,1.24134902420834,
22,48,1381.738,0.027,5.18,0.121085040819846,100,
22,48,1383.66,0.079,0.138201413515659,0.0104617855094061,2.66798095590076,
22,48,1498.649,0.028,0.297056879281205,0.00447506781737831,5.73468878921245,
22,49,1553.798,0.036,0.0955265057160085,0.00198130402292742,1.84414103698858,
22,48,1585.952,0.027,0.624053879061648,0.0077774713729914,12.0473721826573,
22,48,1589.194,0.049,0.0524039915131974,0.00156365617872276,1.01166006782234,
22,48,1762.024,0.028,0.311188236543523,0.00407015168319861,6.00749491396764,
22,48,1793.48,0.029,0.153289481692333,0.00242955972486362,2.95925640332689,
22,47,2943.019,0.05,0.0614211054150334,0.0017854358784664,1.18573562577285,
22,48,3026.706,0.038,0.144563028133621,0.00279241450808841,2.79079204891161,
22,48,3475.546,0.046,0.101621072715416,0.00250676462033578,1.96179677056787,
22,48,3733.601,0.053,0.0873450018532276,0.00247923628642435,1.68619694697351,
22,48,3920.361,0.054,0.0838742789462645,0.00231035734510351,1.61919457425221,
22,48,4713.629,0.074,0.066127315238846,0.00214530974297473,1.27658909727502,
22,48,4881.241,0.059,0.307731318717884,0.00674488481226422,5.9407590486078,
22,48,4966.677,0.061,0.195979625218568,0.00446624514569241,3.78339044823491,
22,48,6418.353,0.08,1.95528623293085,0.057371890589939,37.7468384735684,
22,48,6555.871,0.087,0.334431991469705,0.00756036698618024,6.4562160515387,
22,48,6760.011,0.089,2.96998646987054,0.084803765933262,57.335646136497,
23,51,125.234,0.027,1.61,0.0418543157542755,32.5275693830461,
23,51,148.088,0.026,0.252815014292717,0.00586564141167128,5.10773783756654,
23,51,295.196,0.025,0.163798244595236,0.00391890219275943,3.30929115893957,
23,51,419.624,0.024,0.248518422732568,0.00587121507950025,5.02093182509241,
23,51,436.765,0.023,0.396878832786413,0.00866351218022593,8.01832532305738,
23,51,645.789,0.022,0.76947570209656,0.0166239783381095,15.5460709866546,
23,51,793.614,0.023,0.199201111751164,0.00498846574418575,4.02455154264963,
23,51,823.263,0.028,0.319685453045067,0.00747145623074662,6.4587520215366,
23,51,846.046,0.024,0.251552126770119,0.00677939085844235,5.08222314097382,
23,51,1358.519,0.032,0.150734020753964,0.00483831033160524,3.04534864500626,
23,52,1434.06,0.01,4.94964742382245,0.102716373783883,100,225
23,51,1558.885,0.029,0.322635485453737,0.00773791331784988,6.51835288107404,
23,51,1778.017,0.131,0.16931073677009,0.0131498312740798,3.4206625699278,
23,51,2145.878,0.071,0.139942138243822,0.00398016166949,2.82731528654519,
